"",".rownames","X1","X2","X3","X4","X5"
"688","lath",1,0,0,0,0
"689","laugh",2,1,0,0,0
"690","law",2,1,4,0,4
"691","lawyers",1,0,0,0,0
"692","lay",3,3,1,1,3
"693","lazy",1,0,0,0,0
"694","lead",2,2,0,0,2
"695","learn",2,0,1,0,0
"696","learnd",1,0,0,1,0
"697","learned",1,0,0,0,0
"698","learnedin",1,0,0,0,0
"699","learns",1,0,0,0,0
"700","leave",3,4,0,2,4
"701","leaves",1,1,0,0,0
"702","left",1,0,0,1,2
"703","legs",2,0,0,0,0
"704","lends",1,1,0,0,1
"705","lengthens",1,0,0,0,0
"706","less",2,2,2,0,0
"707","lessend",1,0,0,0,0
"708","lest",1,1,1,1,0
"709","let",12,7,11,8,7
"710","lets",3,1,2,0,1
"711","letters",1,1,0,2,2
"712","liars",1,0,0,0,0
"713","liberty",1,1,1,0,0
"714","lie",6,4,2,4,6
"715","lies",3,5,4,3,4
"716","life",3,2,5,8,3
"717","light",8,8,7,1,4
"718","lightness",1,0,0,0,0
"719","lights",1,0,1,0,0
"720","like",9,11,11,9,0
"721","liking",1,0,0,0,0
"722","limping",1,0,0,0,0
"723","lineament",1,0,0,0,0
"724","lips",8,0,2,2,5
"725","list",1,0,0,0,0
"726","little",2,3,5,2,0
"727","live",6,1,7,3,2
"728","lived",1,0,0,0,0
"729","lively",1,0,0,0,0
"730","liver",1,0,0,0,0
"731","lives",3,0,7,2,2
"732","livia",1,0,0,0,0
"733","loathed",1,0,1,0,0
"734","locks",2,0,0,0,0
"735","loins",1,0,0,0,0
"736","long",6,2,1,5,2
"737","longer",1,3,0,0,1
"738","look",5,1,12,8,5
"739","looked",1,0,0,0,0
"740","looking",1,0,0,0,0
"741","lord",2,6,12,5,5
"742","lost",2,0,0,0,1
"743","love",35,52,28,13,7
"744","loved",1,1,1,0,0
"745","lovely",1,0,1,0,0
"746","lover",2,2,0,0,0
"747","lovers",4,3,1,0,0
"748","loves",3,7,0,0,4
"749","lovest",2,0,0,0,0
"750","loving",2,2,1,1,0
"751","lucentio",1,0,0,0,0
"752","lucio",1,0,0,0,0
"753","lusty",2,0,0,0,0
"754","mab",3,0,0,0,0
"755","mad",2,1,4,2,1
"756","madam",6,2,9,6,0
"757","made",7,6,5,1,1
"758","madman",1,1,0,0,0
"759","madness",1,0,0,0,0
"760","maid",4,2,1,2,0
"761","maidenhead",1,0,1,0,0
"762","maidenheads",1,0,0,0,0
"763","maids",5,1,0,0,0
"764","maintains",1,0,0,0,0
"765","make",7,4,17,7,5
"766","makes",7,0,4,0,1
"767","making",3,0,0,0,0
"768","man",10,18,23,2,11
"769","manage",1,0,1,0,0
"770","manes",1,0,0,0,0
"771","mannerly",1,0,0,0,0
